,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
47,"It's all in Slovakian language, so it becomes difficult to me if I don't understand Slovakian language and.",slovakian language become difficult not understand slovakian language,1.0,0.0,0.263,0.737,-0.3612,Negative,
48,"As you can see, there's no specific data anywhere.",see no specific data anywhere,0.125,0.366,0.268,0.366,0.2023,Positive,
49,"It would become very difficult to find out where is the, which region has the highest number.",would become difficult find region high number,0.77,0.398,0.231,0.37,0.2023,Positive,
50,Court cases in total.,court case total,0.75,0.0,0.0,1.0,0.0,Neutral,
51,"I would try to Scroll down more if I have any information, but unfortunately I do not have that data.",would try scroll information unfortunately not data,1.0,0.0,0.286,0.714,-0.34,Negative,
52,Region has highest number of total cases cannot be found that easily.,region high number total case not find easily,0.7077777777777778,0.117,0.431,0.451,-0.5392,Negative,
53,"Unless and until I know the Slovakian language at the same time, I will have to keep on translating, but.",unless know slovakian language time keep translating,0.0,0.333,0.0,0.667,0.4588,Positive,
54,I would say below average has been my experience so far.,would say average experience far,0.7,0.0,0.0,1.0,0.0,Neutral,
55,Find information about which feature in Slovakia has the highest number of total COVID cases.,find information feature slovakia high number total covid case,0.645,0.381,0.0,0.619,0.5106,Positive,
56,"Oh my God, why am I not able to?",oh god not able,0.625,0.412,0.0,0.588,0.2732,Positive,
57,Find it.,find,0.0,1.0,0.0,0.0,0.4588,Positive,
58,"One of the ways is just contact them and ask them, but they would.",one way contact ask would,0.0,0.0,0.0,1.0,0.0,Neutral,
59,Be providing me with that.,provide,0.0,0.0,0.0,1.0,0.0,Neutral,
60,And let's hover for towards more cases and unfortunately I do not have that information.,let us hover towards case unfortunately not information,1.0,0.0,0.255,0.745,-0.34,Negative,
61,No.,no,0.0,0.0,1.0,0.0,-0.296,Negative,
62,"Sorry, I'm not able to give that.",sorry not able give,0.8125,0.0,0.302,0.698,-0.0772,Negative,
63,I'm not able to answer.,not able answer,0.625,0.0,0.0,1.0,0.0,Neutral,
64,"I'm not able to find out that, so that is below average rating.",not able find average rating,0.5125,0.0,0.383,0.617,-0.357,Negative,
65,On how on the ease up ease of finding the information of highest number of cases.,ease ease find information high number case,0.5399999999999999,0.756,0.0,0.244,0.8074,Positive,
66,For a particular region.,particular region,0.3333333333333333,0.0,0.0,1.0,0.0,Neutral,
67,"Fantastic so I can see how many increase in decrease not decrease, but how many increase of PCR tests?",fantastic see many increase decrease not decrease many increase pcr test,0.6333333333333333,0.498,0.11,0.392,0.7869,Positive,
68,Has it been since every day?,since every day,0.0,0.0,0.0,1.0,0.0,Neutral,
69,How many people have taken antigen tests and lab confirmed cases of positive cases and how many patients have?,many people take antigen test lab confirm case positive case many patient,0.5151515151515151,0.247,0.0,0.753,0.5574,Positive,
70,Kovit in the hospitals.,kovit hospital,0.0,0.0,0.0,1.0,0.0,Neutral,
71,And number of persons vaccinated with the first dose number.,number person vaccinate first dose number,0.3333333333333333,0.394,0.0,0.606,0.1531,Positive,
72,"This one, vaccinated with the second dose.",one vaccinate second dose,0.0,0.0,0.0,1.0,0.0,Neutral,
73,"OK, so.",ok,0.5,1.0,0.0,0.0,0.296,Positive,
74,In the previous question it was asked find which.,previous question ask find,0.16666666666666666,0.5,0.0,0.5,0.4588,Positive,
75,Find which region has the highest number of cases.,find region high number case,0.5399999999999999,0.589,0.0,0.411,0.5106,Positive,
76,So after I click the advanced statistics.,click advanced statistic,0.6,0.5,0.0,0.5,0.25,Positive,
77,"I'm able to answer then, but I think to improve the experience the advanced statistics should be appearing like it needs to appear.",able answer think improve experience advanced statistic appear like need appear,0.6125,0.481,0.0,0.519,0.7506,Positive,['Satisfaction']
78,Really like tell to the user of the page that hey.,really like tell user page hey,0.2,0.358,0.0,0.642,0.4201,Positive,['Satisfaction']
79,"You need more information, please click here, but I think the color and the font size is just telling me that it's just transparent.",need information please click think color font size tell transparent,0.0,0.204,0.0,0.796,0.3182,Positive,
80,"I can't see that, but I had to focus a lot over the website and then find that there is an option called advanced statistics and I did this but not other users would do it.",not see focus lot website find option call advanced statistic not user would,0.6,0.286,0.142,0.572,0.3653,Positive,
81,So I can say lava.,say lava,0.0,0.0,0.0,1.0,0.0,Neutral,
82,"In the region, if we can see.",region see,0.0,0.75,0.0,0.25,0.4588,Positive,
83,"Uh, the region name banska Region.",uh region name banska region,0.0,0.0,0.0,1.0,0.0,Neutral,
84,"Is on top, but that doesn't mean that it has the highest number of cases because the region is not set by.",top not mean high number case region not set,0.5758333333333333,0.18,0.122,0.698,0.1476,Positive,
85,The ascending or descending order is just random.,ascending descend order random,0.5,0.0,0.0,1.0,0.0,Neutral,
86,Put in place and we can see Bratislava region has the highest number of cases.,put place see bratislava region high number case,0.5399999999999999,0.417,0.0,0.583,0.5106,Positive,
87,There's not much.,not much,0.2,0.0,0.0,1.0,0.0,Neutral,
88,Statistics included.,statistics include,0.0,0.0,0.0,1.0,0.0,Neutral,
89,"Like how many have recovered from the test, it would have been better if it was written.",like many recover test would good write,0.55,0.519,0.0,0.481,0.6597,Positive,['Satisfaction']
90,How many people have recovered from that disease.,many people recover disease,0.5,0.0,0.0,1.0,0.0,Neutral,
91,But my valuation would be again at average as it is just giving me how many PCR tests were done.,valuation would average give many pcr test,0.44999999999999996,0.0,0.0,1.0,0.0,Neutral,
92,"How many lab confirmed cases were done, but I think if there was a comparison between how much it was before and how much it is now, it would have been much better.",many lab confirm case think comparison much much would much well,0.3,0.174,0.0,0.826,0.2732,Positive,
93,"I would just treat it as average, that is.",would treat average,0.39999999999999997,0.574,0.0,0.426,0.4019,Positive,
94,Hour on 10 I would just write it as six.,hour 10 would write six,0.0,0.0,0.0,1.0,0.0,Neutral,
95,More information could have been given.,information could give,0.0,0.0,0.0,1.0,0.0,Neutral,
96,I would go back to answer this question.,would go back answer question,0.0,0.0,0.0,1.0,0.0,Neutral,
97,Find the information about exemptions about exemptions from compulsory matter in Slovakia.,find information exemption exemption compulsory matter slovakia,0.0,0.451,0.0,0.549,0.4767,Positive,
98,So let's go to FAQ.,let us go faq,0.0,0.0,0.0,1.0,0.0,Neutral,
99,These are the current measures that does not answer my query travel and immigration.,current measure not answer query travel immigration,0.4,0.0,0.0,1.0,0.0,Neutral,
100,I can hope something is there for my.,hope something,0.0,0.744,0.0,0.256,0.4404,Positive,['Expectation']
101,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
102,Necessity right now and I can see travel regulations.,necessity right see travel regulation,0.5357142857142857,0.429,0.0,0.571,0.4588,Positive,
103,Over here so.,,0.0,0.0,0.0,0.0,0.0,Neutral,
104,Can you open it in a new tab?,open new tab,0.4772727272727273,0.0,0.0,1.0,0.0,Neutral,
105,I can see that it is taking me to a different PDF.,see take different pdf,0.6,0.5,0.0,0.5,0.4588,Positive,
106,"Meanwhile, while it loads, I will check some other FAQ.",meanwhile load check faq,0.0,0.0,0.0,1.0,0.0,Neutral,
107,"I'm not sure if this is frequently asked question, it's just my guess because it nowhere tells that it's a section of FAQ.",not sure frequently ask question guess nowhere tell section faq,0.5944444444444444,0.0,0.179,0.821,-0.2411,Negative,
108,Just because the format looks like a frequently asked question.,format look like frequently ask question,0.3,0.333,0.0,0.667,0.3612,Positive,['Satisfaction']
109,That is why I just said that.,say,0.0,0.0,0.0,1.0,0.0,Neutral,
110,Do we have let me find out?,let find,0.0,0.75,0.0,0.25,0.4588,Positive,
111,"No, we do not have.",no not,0.0,0.0,0.688,0.312,-0.296,Negative,
112,I tried finding it with control plus F to find out anything like that is present but nothing is present as such.,try find control plus f find anything like present nothing present,0.0,0.515,0.0,0.485,0.8176,Positive,['Satisfaction']
113,So travel and immigration.,travel immigration,0.0,0.0,0.0,1.0,0.0,Neutral,
114,That has late has is leading us towards this page.,late lead us towards page,0.6,0.0,0.0,1.0,0.0,Neutral,
115,Travel regulations.,travel regulation,0.0,0.0,0.0,1.0,0.0,Neutral,
116,Border regime of Slovakia.,border regime slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
117,Home isolation so I would try to read all of it.,home isolation would try read,0.0,0.0,0.403,0.597,-0.4019,Negative,
118,I wouldn't.,wouldnt,0.0,0.0,0.0,1.0,0.0,Neutral,
119,I may or may not have find my answer.,may may not find answer,0.0,0.0,0.383,0.617,-0.357,Negative,
120,See specific entry requirements for persons coming from risk countries traveling for the purpose of this travel.,see specific entry requirement person come risk country travel purpose travel,0.125,0.213,0.149,0.638,0.2263,Positive,
121,Clothes no.,clothes no,0.0,0.0,0.688,0.312,-0.296,Negative,
122,"This does not answer, so I'll just go and just type compulsory home exempt or keywords such as exemptions wow.",not answer shall go type compulsory home exempt keywords exemption wow,1.0,0.366,0.0,0.634,0.6369,Positive,
123,"I use a little bit more of my creativity that is control plus F if the person is not a tech savvy or does not use computer or laptop a lot, maybe the senior citizens wouldn't have that much of an idea as to how to use it, so they would find it very difficult.",use little bit creativity control plus f person not tech savvy not use computer laptop lot maybe senior citizen would not much idea use would find difficult,0.5666666666666667,0.174,0.078,0.748,0.4767,Positive,
124,"To find out the exact information that they need again, I would just want ten.",find exact information need would want ten,0.125,0.462,0.0,0.538,0.5106,Positive,
125,I would just write it as seven because it should have been easy because.,would write seven easy,0.8333333333333334,0.492,0.0,0.508,0.4404,Positive,
126,"The information travel and immigration is vague, but people have to put some more efforts to find the information.",information travel immigration vague people put effort find information,0.5,0.263,0.123,0.614,0.3818,Positive,
127,"I can tell, I think the website could have been more broad.",tell think website could broad,0.3125,0.0,0.0,1.0,0.0,Neutral,
128,It's it's just too less information.,less information,0.06666666666666667,0.0,0.0,1.0,0.0,Neutral,
129,And the PDF is a lot of information to read for and until and unless I.,pdf lot information read unless,0.0,0.0,0.0,1.0,0.0,Neutral,
130,"Check the information, I won't get my answer.",check information not get answer,0.0,0.0,0.0,1.0,0.0,Neutral,
131,But I was able to find it over here so.,able find,0.625,0.75,0.0,0.25,0.4588,Positive,
132,8 or 10.,8 10,0.0,0.0,0.0,1.0,0.0,Neutral,
133,The final score.,final score,1.0,0.0,0.0,1.0,0.0,Neutral,
134,"People are arriving to Slovakia and then when I Scroll down, the information is being narrowed down and if I'm vaccinated or not vaccinated I can check what I need so right now.",people arrive slovakia scroll information narrow vaccinate not vaccinate check need right,0.46785714285714286,0.0,0.0,1.0,0.0,Neutral,
135,The exemption rules.,exemption rule,0.0,0.0,0.0,1.0,0.0,Neutral,
136,Is to the point.,point,0.0,0.0,0.0,1.0,0.0,Neutral,
137,"Honest to the point, but a lot of information is there.",honest point lot information,0.9,0.524,0.0,0.476,0.5106,Positive,
138,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
139,On vaccinated persons do not need to enter mandatory self isolation if these are the conditions.,vaccinated person not need enter mandatory self isolation condition,0.0,0.0,0.359,0.641,-0.4445,Negative,
140,Now let's go through some few points.,let us go point,0.0,0.0,0.0,1.0,0.0,Neutral,
141,It's they cannot be vaccinated for health reasons.,not vaccinate health reason,0.0,0.0,0.0,1.0,0.0,Neutral,
142,They must be able to prove it by the confirmation from medical specialist.,must able prove confirmation medical specialist,0.3125,0.0,0.0,1.0,0.0,Neutral,
143,"The hopeful border areas of neighboring state within 100 kilometres from an open book or write and our citizens of the Slovak Republic, they must demonstrate a negative test result not older than seven days.",hopeful border area neighbor state within 100 kilometre open book write citizen slovak republic must demonstrate negative test result not old seven day,0.3666666666666667,0.118,0.132,0.75,-0.1027,Negative,
144,Different scenarios and for sure one or the other scenario will suit for me.,different scenario sure one scenario suit,0.7444444444444445,0.315,0.0,0.685,0.3182,Positive,
145,And I can use it.,use,0.0,0.0,0.0,1.0,0.0,Neutral,
146,For my information and then action on it.,information action,0.1,0.0,0.0,1.0,0.0,Neutral,
147,I would just transiting through Slovak.,would transit slovak,0.0,0.0,0.0,1.0,0.0,Neutral,
148,So I'm coming from abroad and this page will tell me.,come abroad page tell,0.0,0.0,0.0,1.0,0.0,Neutral,
149,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
150,"If I'm allowed to come first of all, so let's say if I'm coming from India because I'm from India, I would click on this and I see that India is not among the risk countries.",allow come first let us say come india india would click see india not among risk country,0.3333333333333333,0.324,0.0,0.676,0.6921,Positive,
151,So there are no exemptions from quarantine for this persons.,no exemption quarantine person,0.0,0.0,0.423,0.577,-0.296,Negative,
152,For the time being part it is for the people from risk.,time part people risk,0.0,0.0,0.412,0.588,-0.2732,Negative,
153,Countries I'm I'm from India.,countries india,0.0,0.0,0.0,1.0,0.0,Neutral,
154,I'm exempted from quarantine.,exempt quarantine,0.0,0.583,0.0,0.417,0.1027,Positive,
155,"But the quarantine has to be taken place at the home or in some quarantine accommodation, the question tells.",quarantine take place home quarantine accommodation question tell,0.0,0.0,0.0,1.0,0.0,Neutral,
156,"If you are allowed to arrive in Slovakia, yes, I'm allowed allowed, and what are the requirements of the arrival?",allow arrive slovakia yes allow allow requirement arrival,0.0,0.677,0.0,0.323,0.7506,Positive,
157,"Arrival requirements are let's crawl to the top and see what are the entry requirements I'm vaccinated, so I will.",arrival requirement let us crawl top see entry requirement vaccinate,0.5,0.375,0.0,0.625,0.5859,Positive,
158,Cut this section vaccinated.,cut section vaccinate,0.0,0.0,0.512,0.488,-0.2732,Negative,
159,"It's giving me a very clear cut information that if the person is considered that, what are the conditions Slovak Public Republic has described as a fully vaccinated public fully vaccinated person that is.",give clear cut information person consider condition slovak public republic describe fully vaccinate public fully vaccinate person,0.1722222222222222,0.132,0.107,0.761,0.128,Positive,
160,These three conditions.,three condition,0.0,0.0,0.0,1.0,0.0,Neutral,
161,"Doing good, I fall for one of it.",good fall one,0.6000000000000001,0.592,0.0,0.408,0.4404,Positive,
162,And.,,0.0,0.0,0.0,0.0,0.0,Neutral,
163,It is giving me the process of how to read.,give process read,0.0,0.0,0.0,1.0,0.0,Neutral,
164,So myself if I'm coming to Slovak Republic and.,come slovak republic,0.0,0.0,0.0,1.0,0.0,Neutral,
165,Different vaccinated then what are the rules?,different vaccinate rule,0.6,0.0,0.0,1.0,0.0,Neutral,
166,I must do this registration through this via E stranica.,must registration via e stranica,0.0,0.0,0.0,1.0,0.0,Neutral,
167,Status has to be proved.,status prove,0.0,0.0,0.0,1.0,0.0,Neutral,
168,EU digital COVID certificate or by National Certificate.,eu digital covid certificate national certificate,0.0,0.0,0.0,1.0,0.0,Neutral,
169,I have a national certificate.,national certificate,0.0,0.0,0.0,1.0,0.0,Neutral,
170,I can use it to prove that.,use prove,0.0,0.0,0.0,1.0,0.0,Neutral,
171,That's good.,good,0.6000000000000001,1.0,0.0,0.0,0.4404,Positive,
172,"And if I'm coming from aeroplane, I must fill the form.",come aeroplane must fill form,0.0,0.0,0.0,1.0,0.0,Neutral,
173,And after filling the form it is telling me rival from a long list.,fill form tell rival long list,0.4,0.0,0.0,1.0,0.0,Neutral,
174,Wow.,wow,1.0,1.0,0.0,0.0,0.5859,Positive,
175,If my.,,0.0,0.0,0.0,0.0,0.0,Neutral,
176,Wow.,wow,1.0,1.0,0.0,0.0,0.5859,Positive,
177,Came from India again and I can see that India is not mentioned anywhere over here so.,came india see india not mention anywhere,0.0,0.333,0.0,0.667,0.4588,Positive,
178,"Even though I'm vaccinated, I must show a negative RT PCR test.",even though vaccinated must show negative rt pcr test,0.4,0.0,0.316,0.684,-0.5719,Negative,
179,"Which is not older than 72 hours, OK?",not old 72 hour ok,0.35,0.355,0.0,0.645,0.296,Positive,
180,So that's my experience so far.,experience far,1.0,0.0,0.0,1.0,0.0,Neutral,
181,How did you feel about searching for the information?,feel search information,0.0,0.0,0.0,1.0,0.0,Neutral,
182,Know that so.,know,0.0,1.0,0.0,0.0,0.4588,Positive,
183,I will have to click each and every section and then go through it.,click every section go,0.0,0.0,0.0,1.0,0.0,Neutral,
184,"As a detailed person, I would suggest more information should have been there.",detailed person would suggest information,0.75,0.0,0.0,1.0,0.0,Neutral,['Suggestion']
185,"Yeah, it's a lot of it's it's.",yeah lot,0.0,0.688,0.0,0.312,0.296,Positive,
186,I'm sorry it's a little bit of hard work to find exactly what information I need.,sorry little bit hard work find exactly information need,0.5729166666666666,0.256,0.231,0.513,0.3182,Positive,
187,With such input information.,input information,0.0,0.0,0.0,1.0,0.0,Neutral,
188,"Oh, like a.",oh like,0.0,0.714,0.0,0.286,0.3612,Positive,['Satisfaction']
189,"Once I'm putting a little bit of effort after choosing what I need, like what I need to know then.",put little bit effort choose need like need know,0.5,0.44,0.0,0.56,0.6705,Positive,['Satisfaction']
190,I'm good with the information after I read it in the PDF section.,good information read pdf section,0.6000000000000001,0.42,0.0,0.58,0.4404,Positive,
191,But before that.,,0.0,0.0,0.0,0.0,0.0,Neutral,
192,"I would have to scroll a lot, read a lot as to what information where do I get exactly how?",would scroll lot read lot information get exactly,0.25,0.0,0.0,1.0,0.0,Neutral,
193,I think I will have a as an experience would be it it does take.,think experience would take,0.0,0.0,0.0,1.0,0.0,Neutral,
194,It gives my brain a lot of.,give brain lot,0.0,0.0,0.0,1.0,0.0,Neutral,
195,"Book, so that would be my experience.",book would experience,0.0,0.0,0.0,1.0,0.0,Neutral,
196,It UM and honest review would be the ease of.,um honest review would ease,0.9,0.659,0.0,0.341,0.7003,Positive,
197,Navigating through the website is not that.,navigating website not,0.0,0.0,0.0,1.0,0.0,Neutral,
198,Oh good.,oh good,0.6000000000000001,0.744,0.0,0.256,0.4404,Positive,
199,"I think more needs to be done on, uh, the navigation of website through the web.",think need uh navigation website web,0.0,0.0,0.0,1.0,0.0,Neutral,
200,Navigation through the website.,navigation website,0.0,0.0,0.0,1.0,0.0,Neutral,
201,I think people would be totally fine if they.,think people would totally fine,0.5,0.344,0.0,0.656,0.2716,Positive,
202,Have to scroll a bit more as long as they're getting the information what they need.,scroll bit long get information need,0.4,0.0,0.0,1.0,0.0,Neutral,
203,You're playing a rival plan from USA Land in Vietnam then.,play rival plan usa land vietnam,0.0,0.324,0.0,0.676,0.34,Positive,
204,"Driving to Slovakia, you vaccinated.",driving slovakia vaccinate,0.0,0.0,0.0,1.0,0.0,Neutral,
205,Do not submit the form in the last step.,not submit form last step,0.06666666666666667,0.0,0.0,1.0,0.0,Neutral,
206,Looking information.,looking information,0.0,0.0,0.0,1.0,0.0,Neutral,
207,Use this information with your own.,use information,0.0,0.0,0.0,1.0,0.0,Neutral,
208,Your own.,,0.0,0.0,0.0,0.0,0.0,Neutral,
209,Today anywhere if I'm trying to Scroll down.,today anywhere try scroll,0.0,0.0,0.0,1.0,0.0,Neutral,
210,"And then again, I would choose the option control F, find it out where it is.",would choose option control f find,0.0,0.375,0.0,0.625,0.4588,Positive,
211,So I type HRA.,type hra,0.0,0.0,0.0,1.0,0.0,Neutral,
212,Not able to find it.,not able find,0.625,0.0,0.554,0.446,-0.357,Negative,
213,Registration at arrival.,registration arrival,0.0,0.0,0.0,1.0,0.0,Neutral,
214,From that tells that gives me information for vaccinated and vaccinate people and I would try to find out.,tell give information vaccinate vaccinate people would try find,0.0,0.273,0.0,0.727,0.4588,Positive,
215,How do I find this form?,find form,0.0,0.75,0.0,0.25,0.4588,Positive,
216,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
217,"If I'm going from you as I don't know exactly where do I find this form exactly, not able to navigate, there's no proper directions as to where I can find this form so.",go not know exactly find form exactly not able navigate no proper direction find form,0.325,0.234,0.238,0.528,-0.0186,Negative,
218,The hard work.,hard work,0.5416666666666666,0.0,0.583,0.417,-0.1027,Negative,
219,It's giving me all the information like who needs to fill.,give information like need fill,0.0,0.385,0.0,0.615,0.3612,Positive,['Satisfaction']
220,What do you have to fill?,fill,0.0,0.0,0.0,1.0,0.0,Neutral,
221,But I don't find it.,not find,0.0,0.0,0.713,0.287,-0.357,Negative,
222,Where do I find this form so?,find form,0.0,0.75,0.0,0.25,0.4588,Positive,
223,Oh Hey OK OK.,oh hey ok ok,0.5,0.688,0.0,0.312,0.5267,Positive,
224,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
225,After pressing control left.,press control leave,0.0,0.0,0.375,0.625,-0.0516,Negative,
226,"And typing in the find dialog box, I can see that it's showing me here.",type find dialog box see show,0.0,0.6,0.0,0.4,0.7184,Positive,
227,Under general rules for arrivals from abroad that I am able to figure out that this link will take me to iranica.,general rule arrival abroad able figure link take iranica,0.5625,0.0,0.0,1.0,0.0,Neutral,
228,"Section, let's fill the form now.",section let us fill form,0.0,0.0,0.0,1.0,0.0,Neutral,
229,Select one country.,select one country,0.0,0.0,0.0,1.0,0.0,Neutral,
230,I don't know how do I even select a country?,not know even select country,0.0,0.0,0.383,0.617,-0.357,Negative,
231,On select one date one.,select one date one,0.0,0.0,0.0,1.0,0.0,Neutral,
232,"OK, once did one.",ok one,0.5,0.688,0.0,0.312,0.296,Positive,
233,"Visited country, but when I'm seeing one visited translation step one visited country.",visited country see one visited translation step one visit country,0.0,0.25,0.0,0.75,0.4588,Positive,
234,I don't find the proper options.,not find proper option,0.1,0.0,0.453,0.547,-0.357,Negative,
235,It's quite confusing.,quite confusing,0.4,0.0,0.687,0.313,-0.2944,Negative,
236,One other visited Country 1 cancel.,one visit country 1 cancel,0.0,0.0,0.333,0.667,-0.25,Negative,
237,One and next country.,one next country,0.0,0.0,0.0,1.0,0.0,Neutral,
238,This information is very difficult to understand as to how I can put my information.,information difficult understand put information,1.0,0.0,0.385,0.615,-0.3612,Negative,
239,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
240,Four name Johnson named John Smith.,four name johnson name john smith,0.0,0.0,0.0,1.0,0.0,Neutral,
241,Four name is John Smith.,four name john smith,0.0,0.0,0.0,1.0,0.0,Neutral,
242,Is my surname OK?,surname ok,0.5,0.688,0.0,0.312,0.296,Positive,
243,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
244,Oh my God the website.,oh god website,0.0,0.512,0.0,0.488,0.2732,Positive,
245,"Translated from Slovak to English now and now, I'm able to see the information.",translated slovak english able see information,0.3125,0.375,0.0,0.625,0.4588,Positive,
246,What I need to choose properly.,need choose properly,0.1,0.0,0.0,1.0,0.0,Neutral,
247,Took a lot of time for it to get converted.,took lot time get convert,0.0,0.0,0.0,1.0,0.0,Neutral,
248,Which country you coming from coming from USA?,country come come usa,0.0,0.0,0.0,1.0,0.0,Neutral,
249,United States of America.,united states america,0.0,0.583,0.0,0.417,0.4215,Positive,
