,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
19,"Find the information about which region in Slovakia has the highest number of total COVID cases, so I'm interested in statistics, right?",find information region slovakia high number total covid case interested statistic right,0.5814285714285714,0.447,0.0,0.553,0.7402,Positive,
20,"Well, I if if I would right now I would press control F and press region.",well would right would press control f press region,0.5357142857142857,0.208,0.0,0.792,0.2732,Positive,
21,"OK, there doesn't find anything, so let's.",ok not find anything let,0.5,0.286,0.323,0.391,-0.0721,Negative,
22,Let's Click on advanced statistics.,let us click advanced statistic,0.6,0.333,0.0,0.667,0.25,Positive,
23,"I would do other statistics and OK, it's back.",would statistic ok back,0.25,0.423,0.0,0.577,0.296,Positive,
24,I thought it disappeared.,think disappear,0.0,0.0,0.655,0.345,-0.2263,Negative,
25,Hopefully it won't go away.,hopefully not go away,0.0,0.474,0.0,0.526,0.4019,Positive,
26,In case so.,case,0.0,0.0,0.0,1.0,0.0,Neutral,
27,There is some kind of court cases.,kind court case,0.9,0.63,0.0,0.37,0.5267,Positive,
28,By I think it's.,think,0.0,0.0,0.0,1.0,0.0,Neutral,
29,"Uh, he's like a weekly.",uh like weekly,0.0,0.556,0.0,0.444,0.3612,Positive,['Satisfaction']
30,There is number of new cases.,number new case,0.45454545454545453,0.394,0.0,0.606,0.0772,Positive,
31,It is whatever we are looking for.,whatever look,0.0,0.0,0.0,1.0,0.0,Neutral,
32,Find the information which has the highest number of total.,find information high number total,0.645,0.589,0.0,0.411,0.5106,Positive,
33,Maybe not the total.,maybe not total,0.75,0.0,0.0,1.0,0.0,Neutral,
34,This is like the weekly right?,like weekly right,0.5357142857142857,0.556,0.0,0.444,0.3612,Positive,['Satisfaction']
35,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
36,"Oh, I think.",oh think,0.0,0.0,0.0,1.0,0.0,Neutral,
37,"Oh, there is total number.",oh total number,0.75,0.443,0.0,0.557,0.1513,Positive,
38,OK so I found it.,ok find,0.5,1.0,0.0,0.0,0.6369,Positive,
39,It should be.,,0.0,0.0,0.0,0.0,0.0,Neutral,
40,But I show pressure I region gain next task.,show pressure region gain next task,0.0,0.354,0.229,0.417,0.296,Positive,
41,Where the code is statistics understandable.,code statistic understandable,0.0,0.0,0.0,1.0,0.0,Neutral,
42,"Oh, Danny.",oh danny,0.0,0.0,0.0,1.0,0.0,Neutral,
43,Only only.,,0.0,0.0,0.0,0.0,0.0,Neutral,
44,Two of the statistics which shows the number of new cases.,two statistic show number new case,0.45454545454545453,0.206,0.0,0.794,0.0772,Positive,
45,I don't know if it's like daily or weekly.,not know like daily weekly,0.0,0.0,0.605,0.395,-0.5559,Negative,['Satisfaction']
46,"Maybe, maybe, maybe it's daily, not sure.",maybe maybe maybe daily not sure,0.4444444444444444,0.0,0.282,0.718,-0.2411,Negative,
47,Not sure and the other column which is the total number of cases.,not sure column total number case,0.8194444444444444,0.211,0.26,0.529,-0.0948,Negative,
48,"Which I found after the second look, but.",find second look,0.0,0.6,0.0,0.4,0.4588,Positive,
49,It's the only one.,one,0.0,0.0,0.0,1.0,0.0,Neutral,
50,"There, so I think it's quite understandable.",think quite understandable,0.0,0.0,0.0,1.0,0.0,Neutral,
51,"Also, there is something to which I'm not going to read right now.",also something not go read right,0.5357142857142857,0.0,0.0,1.0,0.0,Neutral,
52,Task #5 Find the information about exemptions from cold pools or home is elation after arriving to Slovakia OK?,task 5 find information exemption cold pool home elation arrive slovakia ok,0.75,0.461,0.0,0.539,0.7717,Positive,
53,So there is a traveling to.,travel,0.0,0.0,0.0,1.0,0.0,Neutral,
54,Link.,link,0.0,0.0,0.0,1.0,0.0,Neutral,
55,A composer.,composer,0.0,0.0,0.0,1.0,0.0,Neutral,
56,Home is olation.,home olation,0.0,0.0,0.0,1.0,0.0,Neutral,
57,Energy stration border.,energy stration border,0.0,0.512,0.0,0.488,0.2732,Positive,
58,Parent positive travel and immigration.,parent positive travel immigration,0.5454545454545454,0.545,0.0,0.455,0.5574,Positive,
59,Maybe it's still the travel regulation.,maybe still travel regulation,0.0,0.0,0.0,1.0,0.0,Neutral,
60,Border regime is some kind of document.,border regime kind document,0.9,0.531,0.0,0.469,0.5267,Positive,
61,E border.,e border,0.0,0.0,0.0,1.0,0.0,Neutral,
62,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
63,Scrolling down nothing.,scrolling nothing,0.0,0.0,0.0,1.0,0.0,Neutral,
64,"I'm looking for after arriving, so that's the keyword that I'm trying to find.",look arrive keyword try find,0.0,0.429,0.0,0.571,0.4588,Positive,
65,Maybe is this a border travel regulations when we travel?,maybe border travel regulation travel,0.0,0.0,0.0,1.0,0.0,Neutral,
66,"Not sure information is redirects me to the other page, so I'm kind of scared to click on it because of this extension which may stop working.",not sure information redirect page kind scared click extension may stop work,0.8944444444444444,0.184,0.383,0.433,-0.3944,Negative,
67,"Oh, there is there is more about clickers from there.",oh clickers,0.0,0.0,0.0,1.0,0.0,Neutral,
68,It's OK. Me.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
69,"If you have one or two, does is go to download something?",one two go download something,0.0,0.0,0.0,1.0,0.0,Neutral,
70,"Only those, even Slovakia.",even slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
71,"I'm playing from wait, this is applying for vacations.",play wait apply vacation,0.0,0.444,0.0,0.556,0.34,Positive,
72,This is not the one.,not one,0.0,0.0,0.0,1.0,0.0,Neutral,
73,"Uh, no.",uh no,0.0,0.0,0.688,0.312,-0.296,Negative,
74,Travel regulations.,travel regulation,0.0,0.0,0.0,1.0,0.0,Neutral,
75,And I'm.,im,0.0,0.0,0.0,1.0,0.0,Neutral,
76,Current account after arriving.,current account arrive,0.4,0.0,0.0,1.0,0.0,Neutral,
77,How can I find it's?,find,0.0,1.0,0.0,0.0,0.4588,Positive,
78,Can I open this thing?,open thing,0.5,0.0,0.0,1.0,0.0,Neutral,
79,Measures Trying to slide a public usually click on this.,measures trying slide public usually click,0.15833333333333333,0.0,0.0,1.0,0.0,Neutral,
80,It's kind of registration for.,kind registration,0.9,0.773,0.0,0.227,0.5267,Positive,
81,"I don't think I don't know, so I found it.",not think not know find,0.0,0.277,0.327,0.396,-0.0989,Negative,
82,Or maybe I found it.,maybe find,0.0,0.75,0.0,0.25,0.4588,Positive,
83,Hopefully I found it in.,hopefully find,0.0,1.0,0.0,0.0,0.6908,Positive,
84,How the phone meanwhile download?,phone meanwhile download,0.0,0.0,0.0,1.0,0.0,Neutral,
85,Yeah.,yeah,0.0,1.0,0.0,0.0,0.296,Positive,
86,Hum.,hum,0.0,0.0,0.0,1.0,0.0,Neutral,
87,It's two years old.,two year old,0.2,0.0,0.0,1.0,0.0,Neutral,
88,Let's click on the next task.,let us click next task,0.0,0.0,0.0,1.0,0.0,Neutral,
89,How did you feel about navigating the exemption?,feel navigate exemption,0.0,0.0,0.0,1.0,0.0,Neutral,
90,Not sure what this exemption is actually.,not sure exemption actually,0.4944444444444444,0.0,0.395,0.605,-0.2411,Negative,
91,He What?,,0.0,0.0,0.0,0.0,0.0,Neutral,
92,So you have no idea what kind of exemptions you mean.,no idea kind exemption mean,0.79375,0.0,0.624,0.376,-0.6093,Negative,
93,There is no exemption from quarantine.,no exemption quarantine,0.0,0.0,0.524,0.476,-0.296,Negative,
94,"Didn't really found it, so I can't answer this question.",not really find not answer question,0.2,0.0,0.35,0.65,-0.4013,Negative,
95,"OK, that's #7.",ok 7,0.5,0.688,0.0,0.312,0.296,Positive,
96,Planning to arrive from abroad to Slovakia?,planning arrive abroad slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
97,"OK, find out whether the error is even possible in the end, what are the requirements of the arrival?",ok find whether error even possible end requirement arrival,0.75,0.374,0.194,0.432,0.3612,Positive,
98,Oh my God this again.,oh god,0.0,0.677,0.0,0.323,0.2732,Positive,
99,Very quirements of the arrival.,quirements arrival,0.0,0.0,0.0,1.0,0.0,Neutral,
100,I'm regulations.,regulation,0.0,0.0,0.0,1.0,0.0,Neutral,
101,Runs from abroad OK.,runs abroad ok,0.5,0.524,0.0,0.476,0.296,Positive,
102,I think the.,think,0.0,0.0,0.0,1.0,0.0,Neutral,
103,Me.,,0.0,0.0,0.0,0.0,0.0,Neutral,
104,This should be the document which I'm supposed to find it in.,document suppose find,0.0,0.6,0.0,0.4,0.4588,Positive,['Expectation']
105,Origin symptoms plan and what I do.,origin symptom plan,0.0,0.0,0.0,1.0,0.0,Neutral,
106,This is Shane Schragis nation.,shane schragis nation,0.0,0.0,0.0,1.0,0.0,Neutral,
107,I believe this is against vacations.,believe vacation,0.0,0.0,0.0,1.0,0.0,Neutral,
108,Not quite the thing that I'm looking for.,not quite thing look,0.0,0.0,0.0,1.0,0.0,Neutral,
109,"You must register, so I think it should be possible to travel to Slovakia from abroad.",must register think possible travel slovakia abroad,1.0,0.0,0.0,1.0,0.0,Neutral,
110,And you should read this 11.,read 11,0.0,0.0,0.0,1.0,0.0,Neutral,
111,PP thing.,pp thing,0.0,0.0,0.0,1.0,0.0,Neutral,
112,I'm not going to read find out whether there are weather requirements OK requirements.,not go read find whether weather requirement ok requirement,0.5,0.188,0.212,0.599,-0.0721,Negative,
113,See specific end requirements for.,see specific end requirement,0.125,0.5,0.0,0.5,0.4588,Positive,
114,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
115,Maybe all of these requirements.,maybe requirement,0.0,0.0,0.0,1.0,0.0,Neutral,
116,So who am I?,,0.0,0.0,0.0,0.0,0.0,Neutral,
117,Running from abroad person from this country's vacation and vacation children.,running abroad person country vacation vacation child,0.0,0.0,0.0,1.0,0.0,Neutral,
118,Dance.,dance,0.0,0.0,0.0,1.0,0.0,Neutral,
119,I don't know what I'm supposed to choose and when I'm supposed to find if or even if this PDF thing is the correct website where I should be.,not know suppose choose suppose find even pdf thing correct website,0.0,0.207,0.171,0.622,0.1331,Positive,"['Expectation', 'Expectation']"
120,So I think if you want to look at the requirements you should read all these things and I think it's possible to.,think want look requirement read thing think possible,1.0,0.157,0.0,0.843,0.0772,Positive,
121,"Uh, to?",uh,0.0,0.0,0.0,1.0,0.0,Neutral,
122,But I've from abroad to Slovakia next task.,abroad slovakia next task,0.0,0.0,0.0,1.0,0.0,Neutral,
123,How do you do?,,0.0,0.0,0.0,0.0,0.0,Neutral,
124,How do you OK?,ok,0.5,1.0,0.0,0.0,0.296,Positive,
125,So I don't.,dont,0.0,0.0,0.0,1.0,0.0,Neutral,
126,I'm not really sure that if I even found the right information because this PDF is something I don't know if it's.,not really sure even find right information pdf something not know,0.7123015873015872,0.205,0.293,0.502,-0.1015,Negative,
127,Some kind of third party thing.,kind third party thing,0.45,0.753,0.0,0.247,0.7269,Positive,
128,Where it just links me to this 11 pages long.,link 11 page long,0.4,0.0,0.0,1.0,0.0,Neutral,
129,Document.,document,0.0,0.0,0.0,1.0,0.0,Neutral,
130,If I'm supposed to read it or find it somewhere else so.,suppose read find somewhere else,0.0,0.429,0.0,0.571,0.4588,Positive,['Expectation']
131,Didn't feel that good about it.,not feel good,0.6000000000000001,0.0,0.546,0.454,-0.3412,Negative,
132,"There should be, as I said, like I'm imagining that there is a tab.",say like imagine tab,0.0,0.455,0.0,0.545,0.3612,Positive,['Satisfaction']
133,DH says.,dh say,0.0,0.0,0.0,1.0,0.0,Neutral,
134,Coming slackia click here and read something but like OK this is the this is the thing and links me to the registration straight up.,coming slackia click read something like ok thing link registration straight,0.45,0.452,0.0,0.548,0.6808,Positive,['Satisfaction']
135,It's not some kind of information.,not kind information,0.9,0.0,0.581,0.419,-0.4168,Negative,
136,It's straight up registration like why?,straight registration like,0.4,0.815,0.0,0.185,0.5267,Positive,['Satisfaction']
137,"OK, where am I now I'm some kind of code forms.",ok kind code form,0.7,0.737,0.0,0.263,0.6808,Positive,
138,Go back.,go back,0.0,0.0,0.0,1.0,0.0,Neutral,
139,"OK, going to next task.",ok go next task,0.25,0.423,0.0,0.577,0.296,Positive,
140,"Wait, fill in the evening.",wait fill evening,0.0,0.0,0.0,1.0,0.0,Neutral,
141,It's a registration form that you have to fill after having Slovakia from abroad.,registration form fill slovakia abroad,0.0,0.0,0.0,1.0,0.0,Neutral,
142,"Oh my God, I'm supposed to feel it.",oh god suppose feel,0.0,0.412,0.0,0.588,0.2732,Positive,['Expectation']
143,You have to feel after you are planning to arrive by plane from USA.,feel plan arrive plane usa,0.0,0.0,0.0,1.0,0.0,Neutral,
144,"OK, let's try that.",ok let us try,0.5,0.423,0.0,0.577,0.296,Positive,
145,Not gonna send it even if.,not gon na send even,0.0,0.0,0.0,1.0,0.0,Neutral,
146,It all tells me to.,tell,0.0,0.0,0.0,1.0,0.0,Neutral,
147,United States of America landing in.,united states america landing,0.0,0.483,0.0,0.517,0.4215,Positive,
148,Vienna.,vienna,0.0,0.0,0.0,1.0,0.0,Neutral,
149,But And you and you are not vaccinated.,not vaccinate,0.0,0.0,0.0,1.0,0.0,Neutral,
150,Don't use this data and you can make up the rest of them.,not use data make rest,0.0,0.0,0.0,1.0,0.0,Neutral,
151,"OK, wait, so four names for these four name.",ok wait four name four name,0.5,0.306,0.0,0.694,0.296,Positive,
152,Never heard about it.,never hear,0.0,0.0,0.0,1.0,0.0,Neutral,
153,Sean.,sean,0.0,0.0,0.0,1.0,0.0,Neutral,
154,What is it?,,0.0,0.0,0.0,0.0,0.0,Neutral,
155,What country you come from?,country come,0.0,0.0,0.0,1.0,0.0,Neutral,
156,"Or if it's like I'm come from Austria, I should click on it.",like come austria click,0.0,0.455,0.0,0.545,0.3612,Positive,['Satisfaction']
157,What's the last thing?,last thing,0.06666666666666667,0.0,0.0,1.0,0.0,Neutral,
158,Ah OK. Surname Smith of course.,ah ok surname smith course,0.5,0.355,0.0,0.645,0.296,Positive,
159,It's.,,0.0,0.0,0.0,0.0,0.0,Neutral,
160,Maybe 123456.,maybe 123456,0.0,0.0,0.0,1.0,0.0,Neutral,
161,Paper bird treats.,paper bird treat,0.0,0.574,0.0,0.426,0.4019,Positive,
162,Enter the correct way.,enter correct way,0.0,0.0,0.0,1.0,0.0,Neutral,
163,"Oh, I think.",oh think,0.0,0.0,0.0,1.0,0.0,Neutral,
164,By the.,,0.0,0.0,0.0,0.0,0.0,Neutral,
165,OK.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
166,The correct day for months.,correct day month,0.0,0.0,0.0,1.0,0.0,Neutral,
167,Yeah day 30 January.,yeah day 30 january,0.0,0.423,0.0,0.577,0.296,Positive,
168,Hey.,hey,0.0,0.0,0.0,1.0,0.0,Neutral,
169,"Email tester I'm going to copy it over, it's fine.",email tester go copy fine,0.5,0.31,0.0,0.69,0.2023,Positive,
170,Come on.,come,0.0,0.0,0.0,1.0,0.0,Neutral,
171,OK.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
172,Wait is this the error?,wait error,0.0,0.0,0.73,0.27,-0.4019,Negative,
173,"Wait, ERISA restaurants?",wait erisa restaurant,0.0,0.0,0.0,1.0,0.0,Neutral,
174,"Yeah, it should be.",yeah,0.0,1.0,0.0,0.0,0.296,Positive,
175,"So the airline eater, but there is no such thing as.",airline eater no thing,0.0,0.0,0.423,0.577,-0.296,Negative,
176,Each other Council visit did I visit like?,council visit visit like,0.0,0.455,0.0,0.545,0.3612,Positive,['Satisfaction']
177,Leave Austria because I landed there.,leave austria land,0.0,0.0,0.375,0.625,-0.0516,Negative,
178,"I think going for May Shun which I was supposed to feel, so I'm not sure if I'm if I should press continue or not.",think go may shun suppose feel not sure press continue not,0.8888888888888888,0.0,0.164,0.836,-0.2411,Negative,['Expectation']
179,But I'm not gonna do it.,not gon na,0.0,0.0,0.0,1.0,0.0,Neutral,
180,The other thing not much just ask me my email address and phone.,thing not much ask email address phone,0.2,0.0,0.0,1.0,0.0,Neutral,
181,Not sure if I was supposed to write down somewhere my.,not sure suppose write somewhere,0.8888888888888888,0.0,0.329,0.671,-0.2411,Negative,['Expectation']
182,Where I'm where I'm where I come from?,come,0.0,0.0,0.0,1.0,0.0,Neutral,
183,My others and stuff next task.,others stuff next task,0.0,0.0,0.0,1.0,0.0,Neutral,
184,Do you understand the rules of trying to Slovakia?,understand rule try slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
185,"He I mean, there was some kind of, uh, how do I go back?",mean kind uh go back,0.5291666666666667,0.459,0.0,0.541,0.5267,Positive,
186,"OK, I'm back.",ok back,0.25,0.688,0.0,0.312,0.296,Positive,
187,There are definitely some kind of rules.,definitely kind rule,0.9,0.859,0.0,0.141,0.7269,Positive,
188,But it's this 11 pages long PDF and this is the thing that.,11 page long pdf thing,0.4,0.0,0.0,1.0,0.0,Neutral,
189,It's it's it just asks if I'm arriving and I.,ask arrive,0.0,0.0,0.0,1.0,0.0,Neutral,
190,Straight up on the registration form like there should be the information there should be like this.,straight registration form like information like,0.4,0.697,0.0,0.303,0.7096,Positive,"['Satisfaction', 'Satisfaction']"
191,Article some kind of thing which has points with where I can read.,article kind thing point read,0.9,0.459,0.0,0.541,0.5267,Positive,
192,"Oh, what are the rules?",oh rule,0.0,0.0,0.0,1.0,0.0,Neutral,
193,"But no, it's just the registration.",no registration,0.0,0.0,0.688,0.312,-0.296,Negative,
194,Next task.,next task,0.0,0.0,0.0,1.0,0.0,Neutral,
195,"After being vaccinated abroad, you would like to complete the vaccination in Slovakia.",vaccinate abroad would like complete vaccination slovakia,0.4,0.294,0.0,0.706,0.3612,Positive,['Satisfaction']
196,"Whatever steps that you need to do that, you need to do describe I would.",whatever step need need describe would,0.0,0.0,0.0,1.0,0.0,Neutral,
197,On how you could fill the forms that you find to play.,could fill form find play,0.0,0.643,0.0,0.357,0.6597,Positive,
198,"OK, so we already look at camp back here.",ok already look camp back,0.25,0.355,0.0,0.645,0.296,Positive,
199,"So that's so annoying that I click on the home button, thinking it relax me to the original website, but it's some kind of forms website.",annoying click home button think relax original website kind form website,0.85,0.47,0.148,0.383,0.7096,Positive,
200,"Uh, OK, so I already micetich mistakenly click on this so this should be it, right?",uh ok already micetich mistakenly click right,0.5178571428571428,0.234,0.234,0.532,0.0,Neutral,
201,"After being OK, uh, playing, wait, no.",ok uh play wait no,0.5,0.523,0.25,0.227,0.34,Positive,
202,It's a complete in Slovakia.,complete slovakia,0.4,0.0,0.0,1.0,0.0,Neutral,
203,Would I try this?,would try,0.0,0.0,0.0,1.0,0.0,Neutral,
204,"Only for vaccination from abroad applying OK, so this should be it, right?",vaccination abroad apply ok right,0.5178571428571428,0.355,0.0,0.645,0.296,Positive,
205,OK. Order the steps.,ok order step,0.5,0.524,0.0,0.476,0.296,Positive,
206,OK so how to complete have your abroad?,ok complete abroad,0.45,0.524,0.0,0.476,0.296,Positive,
207,And yes go to OK so I need to download something.,yes go ok need download something,0.5,0.551,0.0,0.449,0.5994,Positive,
208,"Information chart OK. Information is just one page long, and these things should be filled out.",information chart ok information one page long thing fill,0.45,0.216,0.0,0.784,0.296,Positive,
209,"Steady Institute badge running if, like dirt person knows what's what's badges.",steady institute badge run like dirt person know badge,0.5,0.396,0.173,0.432,0.4767,Positive,['Satisfaction']
210,Guessing I need to like fill this thing out.,guessing need like fill thing,0.0,0.385,0.0,0.615,0.3612,Positive,['Satisfaction']
211,And good fit declaration.,good fit declaration,0.5,0.844,0.0,0.156,0.6597,Positive,
212,They are.,,0.0,0.0,0.0,0.0,0.0,Neutral,
213,They want me to download them.,want download,0.0,0.565,0.0,0.435,0.0772,Positive,
214,"Uh, thinking some kind of documents?",uh think kind document,0.9,0.531,0.0,0.469,0.5267,Positive,
215,Submit both those forms.,submit form,0.0,0.0,0.0,1.0,0.0,Neutral,
216,Submit the ***** and the proof of vaccination original and copy to the doctor at the vaccine.,submit proof vaccination original copy doctor vaccine,0.75,0.277,0.0,0.723,0.3182,Positive,
217,Show Center where you get vaccinated without prior intro station what?,show center get vaccinate without prior intro station,0.05,0.0,0.0,1.0,0.0,Neutral,
218,To obtain your EU digital goal to click the button what?,obtain eu digital goal click button,0.0,0.0,0.0,1.0,0.0,Neutral,
219,I sent this so annoying actually it just.,send annoy actually,0.1,0.0,0.592,0.408,-0.4404,Negative,
220,Doesn't really tell me anything.,not really tell anything,0.2,0.0,0.0,1.0,0.0,Neutral,
221,It tells me to go somewhere with those two copies.,tell go somewhere two copy,0.0,0.0,0.0,1.0,0.0,Neutral,
222,And then.,,0.0,0.0,0.0,0.0,0.0,Neutral,
223,"I need to click some buttons which I don't know what this means, right?",need click button not know mean right,0.6116071428571428,0.0,0.292,0.708,-0.357,Negative,
224,And then I'll get my career pass.,shall get career pas,0.0,0.0,0.0,1.0,0.0,Neutral,
225,"I'm so I'm going blind to some kind of vaccination center without any information, and I'm just hoping they will help me.",go blind kind vaccination center without information hop help,0.5555555555555556,0.237,0.345,0.418,-0.1426,Negative,
226,"Next task, did you understand the steps for?",next task understand step,0.0,0.0,0.0,1.0,0.0,Neutral,
227,"Playing to complete, I mean yeah, they're quite simple.",playing complete mean yeah quite simple,0.48154761904761906,0.5,0.0,0.5,0.4588,Positive,
228,They just do things that I'm just want to.,thing want,0.0,0.565,0.0,0.435,0.0772,Positive,
229,"Fill out the forms, bring them with myself and then.",fill form bring,0.0,0.0,0.0,1.0,0.0,Neutral,
230,Gleeks unbutton it should be really easy but what I was expecting was.,gleeks unbutton really easy expect,0.8333333333333334,0.444,0.0,0.556,0.4927,Positive,['Expectation']
231,Now I would expect a form like there is some kind of instructions and then should be formed there for me to fill and get my.,would expect form like kind instruction form fill get,0.9,0.457,0.0,0.543,0.7096,Positive,"['Expectation', 'Satisfaction']"
232,Thing where I should put supposed to go?,thing put suppose go,0.0,0.0,0.0,1.0,0.0,Neutral,['Expectation']
233,"Nike City somewhere that is closest to me, etc.",nike city somewhere close etc,0.0,0.0,0.0,1.0,0.0,Neutral,
234,That's #14.,14,0.0,0.0,0.0,1.0,0.0,Neutral,
235,What are the next steps after filling the forms?,next step fill form,0.0,0.0,0.0,1.0,0.0,Neutral,
236,"Bring them with me to the vacation center, right?",bring vacation center right,0.31785714285714284,0.0,0.0,1.0,0.0,Neutral,
237,Go to the questionnaire.,go questionnaire,0.0,0.0,0.0,1.0,0.0,Neutral,
238,Thank you you are completing all the tasks we would like you to answer the following questions by describing the answers out loud and also by selecting the number on the rating scale that.,thank complete task would like answer following question describe answer loud also select number rating scale,0.43333333333333335,0.326,0.0,0.674,0.6486,Positive,['Satisfaction']
239,How much is your answer?,much answer,0.2,0.0,0.0,1.0,0.0,Neutral,
240,Please don't refer the window during the questionnaire or the last part.,please not refer window questionnaire last part,0.06666666666666667,0.277,0.0,0.723,0.3182,Positive,
241,How is this guy this summer?,guy summer,0.0,0.0,0.0,1.0,0.0,Neutral,
242,"People, oh, it's three.",people oh three,0.0,0.0,0.0,1.0,0.0,Neutral,
243,Definitely 3.,definitely 3,0.5,0.73,0.0,0.27,0.4019,Positive,
244,Let's see if I should like explain my decision.,let us see like explain decision,0.0,0.579,0.0,0.421,0.6705,Positive,['Satisfaction']
245,I didn't quite remember.,not quite remember,0.0,0.0,0.0,1.0,0.0,Neutral,
246,All this goes for three.,go three,0.0,0.0,0.0,1.0,0.0,Neutral,
247,How did you feel about the obtaining the information from the website?,feel obtain information website,0.0,0.0,0.0,1.0,0.0,Neutral,
248,3.,3,0.0,0.0,0.0,1.0,0.0,Neutral,
249,If you are in a situation that you would like.,situation would like,0.0,0.556,0.0,0.444,0.3612,Positive,['Satisfaction']
250,"Yeah, we actually planning to wislocki I would do you feel confident about the information that they found where the sufficient?",yeah actually plan wislocki would feel confident information find sufficient,0.4666666666666667,0.545,0.0,0.455,0.8126,Positive,
251,Not really too.,not really,0.2,0.0,0.0,1.0,0.0,Neutral,
252,Thank.,thank,0.0,1.0,0.0,0.0,0.3612,Positive,
